PROPERTY,VALUE
specific enthalpy supply [J/kg],25371
specific enthalpy return [J/kg],58936
specific enthalpy condenser cold [J/kg],25371
specific enthalpy condenser warm [J/kg],58936
water density [kg/m^3],999.97
water kinematic viscosity [m^2/s],1.4714e-6
gravitational acceleration [m^2/s],9.81
duration of one time step [s],1800
